index,org_code,period,attendances,breaches
663,RH8,Feb-17,"7,214.0",637.0
665,RA2,Feb-17,"4,979.0",307.0
666,RD1,Feb-17,"5,272.0","1,229.0"
668,RNZ,Feb-17,"3,223.0",543.0
676,RTP,Feb-17,"7,142.0",647.0
678,RBA,Feb-17,"4,751.0",332.0
680,RDZ,Feb-17,"5,527.0",441.0
682,RA9,Feb-17,"5,146.0",809.0
684,RHM,Feb-17,"7,349.0","1,528.0"
686,RA7,Feb-17,"7,904.0","1,816.0"
688,RYR,Feb-17,"9,715.0",659.0
690,RA3,Feb-17,"3,683.0","1,125.0"
695,RA4,Feb-17,"3,374.0",133.0
696,RF4,Jan-17,"20,430.0","5,247.0"
699,R1H,Jan-17,"28,420.0","7,426.0"
704,RQM,Jan-17,"16,920.0","3,141.0"
706,RJ6,Jan-17,"6,618.0","1,438.0"
710,RVR,Jan-17,"11,643.0",652.0
712,RJ1,Jan-17,"11,677.0","1,840.0"
716,RQX,Jan-17,"10,039.0",710.0
718,RYJ,Jan-17,"9,744.0","3,197.0"
721,RJZ,Jan-17,"16,752.0","4,887.0"
724,RAX,Jan-17,"8,628.0","1,652.0"
726,RJ2,Jan-17,"17,998.0","4,454.0"
728,R1K,Jan-17,"11,961.0","5,897.0"
732,RAP,Jan-17,"14,751.0","3,543.0"
736,RAL,Jan-17,"18,559.0","3,690.0"
739,RJ7,Jan-17,"12,656.0","1,879.0"
742,RAS,Jan-17,"5,686.0","2,776.0"
746,RKE,Jan-17,"8,255.0","1,414.0"
747,RRV,Jan-17,"11,130.0","1,517.0"
751,RDD,Jan-17,"11,165.0","1,385.0"
752,RC1,Jan-17,"6,024.0",555.0
754,RQ3,Jan-17,"5,130.0",248.0
755,RJF,Jan-17,"5,150.0","1,157.0"
757,RGT,Jan-17,"8,801.0","2,361.0"
759,RFS,Jan-17,"6,644.0","1,393.0"
761,RDE,Jan-17,"6,902.0","1,627.0"
764,RTG,Jan-17,"10,806.0","2,386.0"
768,RWH,Jan-17,"8,657.0","2,148.0"
772,RLT,Jan-17,"6,258.0","1,380.0"
775,RR1,Jan-17,"18,898.0","5,019.0"
778,RQQ,Jan-17,"3,571.0",884.0
779,RGQ,Jan-17,"6,788.0","1,073.0"
781,RGP,Jan-17,"5,882.0",740.0
783,RNQ,Jan-17,"7,088.0","2,095.0"
787,RC9,Jan-17,"8,331.0",183.0
792,RQ8,Jan-17,"7,343.0","1,748.0"
794,RD8,Jan-17,"7,028.0","1,621.0"
797,RM1,Jan-17,"8,944.0","2,311.0"
799,RGN,Jan-17,"7,547.0","2,278.0"
801,RNS,Jan-17,"8,353.0","1,712.0"
805,RX1,Jan-17,"14,017.0","3,472.0"
812,RXK,Jan-17,"13,929.0","2,932.0"
815,RK5,Jan-17,"8,295.0",919.0
817,RXW,Jan-17,"9,289.0","2,882.0"
822,RJC,Jan-17,"4,949.0",379.0
824,RAJ,Jan-17,"7,989.0","1,484.0"
826,RNA,Jan-17,"8,593.0","1,903.0"
828,RQW,Jan-17,"8,076.0","3,019.0"
829,RCX,Jan-17,"4,996.0",684.0
830,RL4,Jan-17,"10,711.0","2,416.0"
832,RWD,Jan-17,"12,238.0","2,977.0"
833,RRK,Jan-17,"9,640.0","2,585.0"
834,RKB,Jan-17,"11,313.0","3,361.0"
837,RWE,Jan-17,"11,691.0","4,146.0"
840,RJE,Jan-17,"14,046.0","4,583.0"
843,RBK,Jan-17,"6,401.0","2,418.0"
846,RWG,Jan-17,"7,670.0","2,696.0"
848,RGR,Jan-17,"5,353.0",681.0
849,RWP,Jan-17,"9,170.0","3,174.0"
852,RLQ,Jan-17,"4,195.0","1,060.0"
854,REM,Jan-17,"6,896.0","2,880.0"
856,RCF,Jan-17,"4,996.0",580.0
857,RBS,Jan-17,"4,829.0",131.0
858,RFF,Jan-17,"6,947.0",894.0
859,RXL,Jan-17,"6,534.0","2,406.0"
861,RMC,Jan-17,"8,074.0","1,875.0"
863,RAE,Jan-17,"11,080.0","1,468.0"
866,RWY,Jan-17,"12,385.0",967.0
867,RW3,Jan-17,"12,022.0","2,741.0"
870,RLN,Jan-17,"7,906.0","1,681.0"
873,RJR,Jan-17,"5,675.0","1,080.0"
875,RXP,Jan-17,"10,652.0","2,797.0"
878,RP5,Jan-17,"10,771.0","1,990.0"
880,RJN,Jan-17,"3,822.0","1,153.0"
882,RXR,Jan-17,"9,071.0","3,333.0"
885,RR7,Jan-17,"7,081.0",606.0
887,RCD,Jan-17,"3,575.0",262.0
889,RWA,Jan-17,"10,847.0","2,066.0"
892,RXN,Jan-17,"6,350.0","1,735.0"
895,RR8,Jan-17,"17,366.0","3,508.0"
901,RBT,Jan-17,"5,404.0","1,082.0"
903,RXF,Jan-17,"19,422.0","4,444.0"
904,RNL,Jan-17,"7,502.0","1,471.0"
905,RVW,Jan-17,"5,630.0",600.0
909,RJL,Jan-17,"10,715.0","2,370.0"
911,RTF,Jan-17,"8,126.0","1,493.0"
913,RW6,Jan-17,"21,943.0","6,004.0"
916,RQ6,Jan-17,"7,521.0","2,659.0"
919,RM3,Jan-17,"8,292.0","1,933.0"
920,RCU,Jan-17,"4,549.0",76.0
921,RHQ,Jan-17,"9,180.0","2,735.0"
924,RTR,Jan-17,"9,800.0","1,156.0"
926,RE9,Jan-17,"4,925.0",725.0
928,RVY,Jan-17,"6,048.0","1,236.0"
930,RBN,Jan-17,"8,609.0","2,619.0"
932,RWJ,Jan-17,"7,257.0","2,140.0"
933,RMP,Jan-17,"7,037.0","1,638.0"
934,RTD,Jan-17,"9,872.0","1,405.0"
937,RFR,Jan-17,"6,275.0","1,876.0"
939,RM2,Jan-17,"8,151.0","1,295.0"
940,RTX,Jan-17,"6,612.0","1,664.0"
942,RWW,Jan-17,"6,598.0","1,431.0"
945,RBL,Jan-17,"7,665.0","1,972.0"
948,RRF,Jan-17,"6,852.0","1,604.0"
949,RCB,Jan-17,"8,546.0","3,160.0"
951,RTK,Jan-17,"8,219.0","1,664.0"
957,RXH,Jan-17,"11,727.0","2,903.0"
960,RXQ,Jan-17,"6,779.0","1,474.0"
966,RN7,Jan-17,"8,267.0","2,229.0"
968,RBD,Jan-17,"3,402.0",193.0
970,RVV,Jan-17,"11,837.0","4,875.0"
972,RXC,Jan-17,"8,771.0","2,335.0"
974,RDU,Jan-17,"19,458.0","2,980.0"
976,RTE,Jan-17,"10,613.0","2,697.0"
977,RN3,Jan-17,"6,556.0","1,995.0"
979,RN5,Jan-17,"8,914.0","1,974.0"
982,R1F,Jan-17,"3,244.0",819.0
986,RWF,Jan-17,"11,206.0","3,056.0"
988,RPA,Jan-17,"9,088.0","2,548.0"
989,RVJ,Jan-17,"6,687.0","1,651.0"
990,RBZ,Jan-17,"3,429.0",403.0
994,RTH,Jan-17,"10,450.0","1,833.0"
997,RK9,Jan-17,"7,728.0","1,634.0"
999,RD3,Jan-17,"5,315.0",653.0
1001,RHU,Jan-17,"8,906.0","2,966.0"
1005,RHW,Jan-17,"9,158.0","1,209.0"
